Unnamed: 0,ADDR_FULL,ZIP5,PLUS4,CTYNAME,POSTALCTYNAME,LAT,LON,APPRLNDVAL,APPR_IMPR,TAX_LNDVAL,TAX_IMPR,is_threatened
0,2108 B ST NW,98001,1624.0,AUBURN,AUBURN,47.32735,-122.23105,5115900.0,20709100.0,5115900.0,20709100.0,0
1,5 14TH ST NW,98001,4000.0,AUBURN,AUBURN,47.32053,-122.22926,672700.0,827600.0,672700.0,827600.0,0
2,9 14TH ST NW,98001,4000.0,AUBURN,AUBURN,47.32054,-122.23093,1324800.0,4961600.0,1324800.0,4961600.0,0
3,9 16TH ST NW,98001,1613.0,AUBURN,AUBURN,47.32371,-122.23141,682200.0,6711900.0,682200.0,6711900.0,0
4,8 16TH ST NW,98001,1616.0,AUBURN,AUBURN,47.32284,-122.23138,2810800.0,4377000.0,2810800.0,4377000.0,0
5,202 29TH ST NW,98001,2443.0,AUBURN,AUBURN,47.33256,-122.23373,138000.0,0.0,138000.0,0.0,0
6,116 29TH ST NW,98001,1701.0,AUBURN,AUBURN,47.33255,-122.23317,154000.0,196000.0,154000.0,196000.0,0
7,2820 B ST NW,98001,1782.0,AUBURN,AUBURN,47.3321,-122.23077,10905600.0,61223300.0,10905600.0,61223300.0,0
8,2530 B ST NW,98001,1745.0,AUBURN,AUBURN,47.32961,-122.23098,2835000.0,15324300.0,2835000.0,15324300.0,0
9,2306 B ST NW,98001,1743.0,AUBURN,AUBURN,47.32818,-122.23099,1820200.0,9513400.0,1820200.0,9513400.0,0
10,2302 B ST NW,98001,1747.0,AUBURN,AUBURN,47.32877,-122.22882,3553700.0,15899900.0,3553700.0,15899900.0,0
11,45625 212TH AVE SE,98022,9508.0,,ENUMCLAW,47.1914,-122.05936,327000.0,200000.0,152739.0,200000.0,0
12,20002 SE 456TH WAY,98022,9538.0,,ENUMCLAW,47.19233,-122.07365,361000.0,727000.0,150542.0,727000.0,0
13,45326 196TH AVE SE,98022,9516.0,,ENUMCLAW,47.19417,-122.07924,296000.0,88000.0,296000.0,88000.0,0
14,45216 196TH AVE SE,98022,9516.0,,ENUMCLAW,47.1952,-122.0795,152000.0,162000.0,56900.0,67000.0,0
15,45003 208TH AVE SE,98022,9512.0,,ENUMCLAW,47.19713,-122.06469,582000.0,317000.0,104671.0,317000.0,0
16,45521 212TH AVE SE,98022,9508.0,,ENUMCLAW,47.19243,-122.05935,614000.0,442000.0,185901.0,442000.0,0
17,19828 SE 456TH WAY,98022,9539.0,,ENUMCLAW,47.19106,-122.07584,172200.0,142000.0,172200.0,142000.0,0
18,19816 SE 456TH WAY,98022,9539.0,,ENUMCLAW,47.19391,-122.07605,287000.0,426000.0,153058.0,426000.0,0
19,20410 SE 456TH WAY,98022,9556.0,,ENUMCLAW,47.1927,-122.06961,36713.0,0.0,36713.0,0.0,0
20,521 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31404,-122.25205,141000.0,231000.0,141000.0,231000.0,0
21,523 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31424,-122.25187,136000.0,334000.0,136000.0,334000.0,0
22,525 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31454,-122.2518,141000.0,298000.0,141000.0,298000.0,0
23,527 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31482,-122.25159,150000.0,553000.0,150000.0,553000.0,0
24,529 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31513,-122.25144,149000.0,276000.0,149000.0,276000.0,0
25,537 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31493,-122.25413,118000.0,288000.0,118000.0,288000.0,0
26,541 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31454,-122.25484,136000.0,239000.0,136000.0,239000.0,0
27,539 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31481,-122.25474,129000.0,310000.0,129000.0,310000.0,0
28,543 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31412,-122.25462,136000.0,330000.0,136000.0,330000.0,0
29,512 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31352,-122.2547,112000.0,390000.0,112000.0,390000.0,0
30,510 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31337,-122.25496,110000.0,516000.0,110000.0,516000.0,0
31,506 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31303,-122.25471,105000.0,241000.0,105000.0,241000.0,0
32,502 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31282,-122.25474,94000.0,233000.0,94000.0,233000.0,0
33,542 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31399,-122.25426,118000.0,313000.0,118000.0,313000.0,0
34,540 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31423,-122.25384,105000.0,300000.0,105000.0,300000.0,0
35,538 AABY DR,98001,3854.0,AUBURN,AUBURN,47.3145,-122.25376,105000.0,299000.0,105000.0,299000.0,0
36,518 AABY DR,98001,3854.0,AUBURN,AUBURN,47.31423,-122.25337,94000.0,297000.0,94000.0,297000.0,0
37,1324 ROOSEVELT AVE E,98022,9237.0,ENUMCLAW,ENUMCLAW,47.19882,-121.963,554700.0,190700.0,554700.0,190700.0,0
38,1335 ROOSEVELT AVE E,98022,9237.0,ENUMCLAW,ENUMCLAW,47.19884,-121.96239,258300.0,171300.0,258300.0,171300.0,0
39,1334 ROOSEVELT AVE E,98022,9237.0,ENUMCLAW,ENUMCLAW,47.19824,-121.96249,675500.0,2033900.0,675500.0,2033900.0,0
40,5301 33RD ST SE,98092,7328.0,AUBURN,AUBURN,47.27985,-122.16034,80000.0,194000.0,0.0,0.0,0
41,5303 33RD ST SE,98092,7328.0,AUBURN,AUBURN,47.27985,-122.15993,80000.0,182000.0,0.0,0.0,0
42,5305 33RD ST SE,98092,7328.0,AUBURN,AUBURN,47.27985,-122.15954,80000.0,166000.0,0.0,0.0,0
43,5307 33RD ST SE,98092,7328.0,AUBURN,AUBURN,47.27985,-122.15915,80000.0,168000.0,80000.0,168000.0,0
44,5308 33RD ST SE,98092,7327.0,AUBURN,AUBURN,47.27946,-122.15914,80000.0,167000.0,0.0,0.0,0
45,5306 33RD ST SE,98092,7327.0,AUBURN,AUBURN,47.27946,-122.15952,80000.0,168000.0,0.0,0.0,0
46,5304 33RD ST SE,98092,7327.0,AUBURN,AUBURN,47.27946,-122.15992,80000.0,168000.0,0.0,0.0,0
47,5302 33RD ST SE,98092,7327.0,AUBURN,AUBURN,47.27946,-122.16032,80000.0,179000.0,0.0,0.0,0
48,5310 33RD ST SE,98092,7327.0,AUBURN,AUBURN,47.27942,-122.15876,80000.0,180000.0,0.0,0.0,0
49,5402 33RD ST SE,98092,7325.0,AUBURN,AUBURN,47.27941,-122.15816,80000.0,195000.0,0.0,0.0,0
50,5412 33RD ST SE,98092,7325.0,AUBURN,AUBURN,47.27928,-122.1578,80000.0,182000.0,0.0,0.0,0
51,5418 33RD ST SE,98092,7325.0,AUBURN,AUBURN,47.27913,-122.15745,80000.0,194000.0,0.0,0.0,0
52,5420 33RD ST SE,98092,7325.0,AUBURN,AUBURN,47.27935,-122.15692,80000.0,238000.0,0.0,0.0,0
53,5421 33RD ST SE,98092,7326.0,AUBURN,AUBURN,47.27957,-122.15714,80000.0,0.0,0.0,0.0,0
54,5413 33RD ST SE,98092,7326.0,AUBURN,AUBURN,47.27966,-122.15753,80000.0,201000.0,0.0,0.0,0
55,5407 33RD ST SE,98092,7326.0,AUBURN,AUBURN,47.27979,-122.15787,80000.0,189000.0,0.0,0.0,0
56,5401 33RD ST SE,98092,7326.0,AUBURN,AUBURN,47.27984,-122.15836,80000.0,177000.0,0.0,0.0,0
57,5311 33RD ST SE,98092,7328.0,AUBURN,AUBURN,47.27988,-122.15879,80000.0,0.0,0.0,0.0,0
58,42611 NFD 54 RD,98022,,,ENUMCLAW,47.21911,-121.45363,115000.0,161000.0,0.0,0.0,0
59,2505 S 355TH PL,98003,9144.0,,FEDERAL WAY,47.28271,-122.30217,110000.0,215000.0,110000.0,215000.0,0
60,2511 S 355TH PL,98003,9144.0,,FEDERAL WAY,47.28271,-122.3019,110000.0,198000.0,110000.0,198000.0,0
61,2517 S 355TH PL,98003,9144.0,,FEDERAL WAY,47.28267,-122.30167,110000.0,175000.0,110000.0,175000.0,0
62,2524 S 355TH PL,98003,9144.0,,FEDERAL WAY,47.28311,-122.3014,110000.0,252000.0,110000.0,252000.0,0
63,35439 26TH AVE S,98003,9141.0,,FEDERAL WAY,47.28325,-122.30132,110000.0,247000.0,110000.0,247000.0,0
64,35433 26TH AVE S,98003,9141.0,,FEDERAL WAY,47.28343,-122.30131,110000.0,245000.0,110000.0,245000.0,0
65,35427 26TH AVE S,98003,9141.0,,FEDERAL WAY,47.28361,-122.3013,110000.0,257000.0,110000.0,257000.0,0
66,35421 26TH AVE S,98003,9141.0,,FEDERAL WAY,47.2838,-122.30142,110000.0,203000.0,110000.0,203000.0,0
67,35409 26TH AVE S,98003,9141.0,,FEDERAL WAY,47.28414,-122.30129,110000.0,205000.0,110000.0,205000.0,0
68,2512 S 355TH PL,98003,9144.0,,FEDERAL WAY,47.28312,-122.30188,110000.0,203000.0,110000.0,203000.0,0
69,2506 S 355TH PL,98003,9144.0,,FEDERAL WAY,47.28312,-122.30218,110000.0,219000.0,110000.0,219000.0,0
70,35448 25TH PL S,98003,7245.0,,FEDERAL WAY,47.28335,-122.30202,110000.0,186000.0,110000.0,186000.0,0
71,35442 25TH PL S,98003,7245.0,,FEDERAL WAY,47.28351,-122.30199,110000.0,217000.0,110000.0,217000.0,0
72,35436 25TH PL S,98003,7245.0,,FEDERAL WAY,47.28368,-122.30194,110000.0,177000.0,110000.0,177000.0,0
73,35430 25TH PL S,98003,7245.0,,FEDERAL WAY,47.28385,-122.30189,110000.0,219000.0,110000.0,219000.0,0
74,35424 25TH PL S,98003,7245.0,,FEDERAL WAY,47.28404,-122.30177,110000.0,215000.0,110000.0,215000.0,0
75,35418 25TH PL S,98003,7245.0,,FEDERAL WAY,47.28423,-122.30163,110000.0,216000.0,110000.0,216000.0,0
76,35410 25TH PL S,98003,7245.0,,FEDERAL WAY,47.28443,-122.30151,110000.0,214000.0,110000.0,214000.0,0
77,2501 S 354TH ST,98003,7201.0,,FEDERAL WAY,47.28462,-122.30127,110000.0,171000.0,110000.0,171000.0,0
78,35211 25TH PL S,98003,7206.0,,FEDERAL WAY,47.28605,-122.30074,110000.0,236000.0,110000.0,236000.0,0
79,35217 25TH PL S,98003,7206.0,,FEDERAL WAY,47.28587,-122.30081,110000.0,220000.0,110000.0,220000.0,0
80,35307 25TH PL S,98003,7208.0,,FEDERAL WAY,47.28568,-122.30095,110000.0,271000.0,110000.0,271000.0,0
81,35313 25TH PL S,98003,7208.0,,FEDERAL WAY,47.28551,-122.30104,110000.0,252000.0,110000.0,252000.0,0
82,35319 25TH PL S,98003,7208.0,,FEDERAL WAY,47.28536,-122.30121,110000.0,287000.0,110000.0,287000.0,0
83,2442 S 354TH ST,98003,7248.0,,FEDERAL WAY,47.28517,-122.30134,110000.0,315000.0,110000.0,315000.0,0
84,2422 S 354TH ST,98003,7248.0,,FEDERAL WAY,47.28531,-122.30218,110000.0,197000.0,110000.0,197000.0,0
85,2416 S 354TH ST,98003,7248.0,,FEDERAL WAY,47.28547,-122.30216,110000.0,200000.0,110000.0,200000.0,0
86,2412 S 354TH ST,98003,7248.0,,FEDERAL WAY,47.28564,-122.30207,110000.0,201000.0,110000.0,201000.0,0
87,2406 S 354TH ST,98003,7248.0,,FEDERAL WAY,47.28602,-122.30219,110000.0,203000.0,110000.0,203000.0,0
88,2403 S 354TH ST,98003,7248.0,,FEDERAL WAY,47.28604,-122.30246,110000.0,187000.0,110000.0,187000.0,0
89,2407 S 354TH ST,98003,7248.0,,FEDERAL WAY,47.286,-122.30275,110000.0,175000.0,110000.0,175000.0,0
90,2411 S 354TH ST,98003,7248.0,,FEDERAL WAY,47.28579,-122.30277,110000.0,202000.0,110000.0,202000.0,0
91,2415 S 354TH ST,98003,7248.0,,FEDERAL WAY,47.28557,-122.30277,110000.0,203000.0,110000.0,203000.0,0
92,2419 S 354TH ST,98003,7248.0,,FEDERAL WAY,47.28536,-122.30277,110000.0,200000.0,110000.0,200000.0,0
93,2423 S 354TH ST,98003,7248.0,,FEDERAL WAY,47.28515,-122.30277,110000.0,228000.0,110000.0,228000.0,0
94,2427 S 354TH ST,98003,7248.0,,FEDERAL WAY,47.285,-122.30266,110000.0,200000.0,110000.0,200000.0,0
95,2431 S 354TH ST,98003,7248.0,,FEDERAL WAY,47.28495,-122.30241,110000.0,219000.0,110000.0,219000.0,0
96,2435 S 354TH ST,98003,7248.0,,FEDERAL WAY,47.28495,-122.30214,110000.0,191000.0,110000.0,191000.0,0
97,35441 25TH PL S,98003,7245.0,,FEDERAL WAY,47.28358,-122.30271,104000.0,213000.0,104000.0,213000.0,0
98,35447 25TH PL S,98003,7245.0,,FEDERAL WAY,47.28339,-122.30278,110000.0,219000.0,80000.0,208000.0,0
99,35453 25TH PL S,98003,7245.0,,FEDERAL WAY,47.28319,-122.30277,110000.0,184000.0,110000.0,184000.0,0
100,35459 25TH PL S,98003,7245.0,,FEDERAL WAY,47.283,-122.30278,110000.0,219000.0,110000.0,219000.0,0
101,35509 25TH PL S,98003,7247.0,,FEDERAL WAY,47.28281,-122.30278,110000.0,216000.0,110000.0,216000.0,0
102,35513 25TH PL S,98003,7247.0,,FEDERAL WAY,47.28262,-122.30278,110000.0,197000.0,110000.0,197000.0,0
103,35224 27TH CT S,98003,9191.0,,FEDERAL WAY,47.28544,-122.29797,105000.0,288000.0,105000.0,288000.0,0
104,35216 27TH CT S,98003,9191.0,,FEDERAL WAY,47.28564,-122.29794,105000.0,175000.0,105000.0,175000.0,0
105,35210 27TH CT S,98003,9191.0,,FEDERAL WAY,47.28585,-122.29792,105000.0,192000.0,77000.0,83000.0,0
106,35204 27TH CT S,98003,9191.0,,FEDERAL WAY,47.28603,-122.29798,105000.0,207000.0,105000.0,207000.0,0
107,35205 27TH CT S,98003,9191.0,,FEDERAL WAY,47.28603,-122.29835,110000.0,186000.0,77000.0,92000.0,0
108,35209 27TH CT S,98003,9191.0,,FEDERAL WAY,47.28594,-122.29861,110000.0,215000.0,110000.0,215000.0,0
109,35215 27TH CT S,98003,9191.0,,FEDERAL WAY,47.28575,-122.2987,110000.0,172000.0,110000.0,172000.0,0
110,2630 S 353RD ST,98003,7204.0,,FEDERAL WAY,47.28549,-122.29854,110000.0,170000.0,110000.0,170000.0,0
111,2622 S 353RD ST,98003,7204.0,,FEDERAL WAY,47.28548,-122.29881,110000.0,176000.0,110000.0,176000.0,0
