Unnamed: 0,PARCEL_NO,ADDRESS1,CITY,STATE,ZIP,BLDG_VALUE,LAND_VALUE,TOTAL_VALU,LAT,LONG,LOOKUP,SUCCESS,is_threatened
0,11728340400,11231 STEDMAN RD SE,OLYMPIA,WA,98513,0.0,14200.0,14200.0,46.92579,-122.8108,1,1,
1,11728430200,11046 TEMPO LK DR SE,OLYMPIA,WA,98513,0.0,58600.0,58600.0,0.0,0.0,1,0,
2,11728430401,11249 STEDMAN RD SE,OLYMPIA,WA,98513,0.0,64200.0,64200.0,46.92603,-122.81099,1,1,
3,11730210101,7235 44TH AVE NE,OLYMPIA,WA,98516,0.0,102400.0,102400.0,0.0,0.0,1,0,
4,57730000400,5420 CALEB CT SE,OLYMPIA,WA,98513,0.0,118900.0,118900.0,0.0,0.0,1,0,
5,11714140401,8730 SPURGEON CREEK RD SE,OLYMPIA,WA,98513,0.0,2250.0,2250.0,0.0,0.0,1,0,
6,99901253600,11412 CEMETERY RD SE,YELM,WA,98597,2000.0,0.0,2000.0,0.0,0.0,1,0,
7,9640019020,947 OLD PACIFIC HWY SE,OLYMPIA,WA,98513,90800.0,133900.0,224700.0,0.0,0.0,1,0,
8,47130000003,15030 LONGMIRE ST SE,YELM,WA,98597,0.0,3300.0,3300.0,46.94178,-122.62155,1,1,
9,38460002000,4047 MARVIN RD NE,OLYMPIA,WA,98516,251100.0,84600.0,335700.0,0.0,0.0,1,0,
10,38460004400,8552 FORTMAN DR NE,LACEY,WA,98516,291900.0,55100.0,347000.0,47.08386,-122.75865,1,1,
11,99901253000,7300 32ND AVE NE # 45,OLYMPIA,WA,98516,57600.0,0.0,57600.0,0.0,0.0,1,0,
12,56670000002,8487 BAINBRIDGE LOOP NE,LACEY,WA,98516,0.0,0.0,0.0,47.09137,-122.75988,1,1,
13,99901254600,1502 YELM AVE SE # 4,YELM,WA,98597,89300.0,0.0,89300.0,0.0,0.0,1,0,
14,42280000102,8270 28TH CT NE STE 201,LACEY,WA,98516,412700.0,82700.0,495400.0,0.0,0.0,1,0,
15,11922410500,7422 GRAYHAWK LN NE,OLYMPIA,WA,98516,0.0,106300.0,106300.0,0.0,0.0,1,0,
16,84680014200,4244 20TH LN NE,OLYMPIA,WA,98516,264800.0,47300.0,312100.0,47.06308,-122.82901,1,1,
17,64300100202,11307 BALD HILL RD SE,YELM,WA,98597,0.0,26300.0,26300.0,46.92982,-122.58415,1,1,
18,22625220100,PO BOX 261,YELM,WA,98597,37000.0,2800.0,39800.0,0.0,0.0,1,0,
19,99901255800,7138 ENGLEWOOD DR SE # 37,OLYMPIA,WA,98513,45500.0,0.0,45500.0,0.0,0.0,1,0,
20,38160001400,3712 SNOWBERRY ST NE,LACEY,WA,98516,402300.0,110000.0,512300.0,0.0,0.0,1,0,
21,23628200101,PO BOX 789,YELM,WA,98597,71800.0,63100.0,134900.0,0.0,0.0,1,0,
22,58220000601,UNKNOWN,OLYMPIA,WA,98513,0.0,0.0,0.0,47.0451,-122.89501,1,1,
23,9910007014,18901 119TH AVE SE,YELM,WA,98597,0.0,36700.0,36700.0,0.0,0.0,1,0,
24,11904240401,9144 GALLEA ST NE,OLYMPIA,WA,98516,34200.0,140100.0,174300.0,0.0,0.0,1,0,
25,38480007900,9019 MERRILL CT NE,LACEY,WA,98516,293100.0,55500.0,348600.0,47.08957,-122.74331,1,1,
26,99901258400,16602 109TH LN SE,YELM,WA,98597,24400.0,0.0,24400.0,0.0,0.0,1,0,
27,99901259800,13843 148TH AVE SE,YELM,WA,98597,57400.0,0.0,57400.0,0.0,0.0,1,0,
28,75640001900,9410 PIPERHILL DR SE,OLYMPIA,WA,98513,364700.0,68100.0,432800.0,0.0,0.0,1,0,
29,64400700102,PO BOX 841,YELM,WA,98597,138700.0,34000.0,172700.0,0.0,0.0,1,0,
30,33201300200,4326 LEGACY DR NE,OLYMPIA,WA,98516,402200.0,99000.0,501200.0,47.09116,-122.79252,1,1,
31,11923420303,9328 MILBURN LOOP SE,OLYMPIA,WA,98513,0.0,144400.0,144400.0,0.0,0.0,1,0,
32,22728320204,10807 VAIL RD SE,YELM,WA,98597,0.0,45100.0,45100.0,0.0,0.0,1,0,
33,99901261900,9101 STEILACOOM RD SE # 66,OLYMPIA,WA,98513,66700.0,0.0,66700.0,0.0,0.0,1,0,
34,63550000502,PO BOX 1393,YELM,WA,98597,315300.0,45300.0,360600.0,0.0,0.0,1,0,
35,99901264500,8510 MARTIN WAY NE # 2,OLYMPIA,WA,98516,24100.0,0.0,24100.0,0.0,0.0,1,0,
36,21819430200,4820 SHE NAH NUM DR SE,OLYMPIA,WA,98513,0.0,97900.0,97900.0,0.0,0.0,1,0,
37,76220000100,9622 6TH AVE SE                                   ,LACEY                                   ,WA,98513,340900.0,61800.0,402700.0,47.04276,-122.80453,1,1,
38,76220000300,9630 6TH AVE SE                                   ,LACEY                                   ,WA,98513,350200.0,58500.0,408700.0,47.04276,-122.80453,1,1,
39,76220000400,9634 6TH AVE SE                                   ,LACEY                                   ,WA,98513,335700.0,58500.0,394200.0,47.04276,-122.80453,1,1,
40,76220000500,9638 6TH AVE SE                                   ,LACEY                                   ,WA,98513,331700.0,58300.0,390000.0,47.04276,-122.80453,1,1,
41,76220000600,9642 6TH AVE SE                                   ,LACEY                                   ,WA,98513,340700.0,58200.0,398900.0,47.04276,-122.80453,1,1,
42,76220000700,9702 6TH AVE SE                                   ,LACEY                                   ,WA,98513,344900.0,58200.0,403100.0,47.04276,-122.80453,1,1,
43,76220000800,9706 6TH AVE SE                                   ,LACEY                                   ,WA,98513,346300.0,59400.0,405700.0,47.04276,-122.80453,1,1,
44,76220000900,9710 6TH AVE SE                                   ,LACEY                                   ,WA,98513,326400.0,63500.0,389900.0,47.04276,-122.80453,1,1,
45,76220001000,618 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,273600.0,60500.0,334100.0,0.0,0.0,1,0,
46,76220001100,622 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,300300.0,55300.0,355600.0,0.0,0.0,1,0,
47,76220001200,626 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,317600.0,55600.0,373200.0,0.0,0.0,1,0,
48,76220001300,630 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,288400.0,56100.0,344500.0,0.0,0.0,1,0,
49,76220001400,634 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,342100.0,56700.0,398800.0,0.0,0.0,1,0,
50,76220001500,638 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,262900.0,56800.0,319700.0,0.0,0.0,1,0,
51,76220001600,642 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,302300.0,56800.0,359100.0,0.0,0.0,1,0,
52,76220001700,646 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,263400.0,56800.0,320200.0,0.0,0.0,1,0,
53,76220001800,708 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,319400.0,56500.0,375900.0,0.0,0.0,1,0,
54,76220001900,712 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,271000.0,56000.0,327000.0,0.0,0.0,1,0,
55,76220002000,716 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,291100.0,55500.0,346600.0,0.0,0.0,1,0,
56,76220002100,720 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,334000.0,58100.0,392100.0,0.0,0.0,1,0,
57,76220002200,728 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,298800.0,56900.0,355700.0,0.0,0.0,1,0,
58,76220002300,732 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,274000.0,55300.0,329300.0,0.0,0.0,1,0,
59,76220002400,736 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,316300.0,55300.0,371600.0,0.0,0.0,1,0,
60,76220002500,740 MANDEE ST SE                                  ,LACEY                                   ,WA,98513,301400.0,55300.0,356700.0,0.0,0.0,1,0,
