latitude,longitude,OBJECTID,CASE_1,CASE_2,CASE_3,SYMBOL,TIME_ZONE
47.16501414,-121.98002615,"30",Y,,,"1",D
47.16592834,-121.98592519,"30",Y,,,"1",D
47.16860002,-121.99087939,"30",Y,,,"1",D
47.16660232,-121.99213813,"30",Y,,,"1",D
47.16362195,-121.9752694,"30",Y,,,"1",D
47.16402395,-121.97805604,"30",Y,,,"1",D
47.16350945,-121.97683693,"30",Y,,,"1",D
47.16442525,-121.97879253,"30",Y,,,"1",D
47.29028016,-122.25560483,"32",Y,,,"1",
47.28055037,-122.24789072,"32",Y,,,"1",
47.28113529,-122.24753652,"32",Y,,,"1",
47.28100952,-122.24755061,"32",Y,,,"1",
47.28088617,-122.24755047,"32",Y,,,"1",
47.28076282,-122.2475503,"32",Y,,,"1",
47.28066324,-122.24745682,"32",Y,,,"1",
47.28051319,-122.2475346,"32",Y,,,"1",
47.28035447,-122.2475069,"32",Y,,,"1",
47.28019957,-122.24754076,"32",Y,,,"1",
47.28024347,-122.24698384,"32",Y,,,"1",
47.28036684,-122.24698403,"32",Y,,,"1",
47.2804902,-122.24698423,"32",Y,,,"1",
47.28061356,-122.24698442,"32",Y,,,"1",
47.28073692,-122.24698461,"32",Y,,,"1",
47.28086028,-122.24698482,"32",Y,,,"1",
47.28098364,-122.24698502,"32",Y,,,"1",
47.281107,-122.2469852,"32",Y,,,"1",
47.28123037,-122.2469854,"32",Y,,,"1",
47.28135372,-122.2469856,"32",Y,,,"1",
47.27999997,-122.24766719,"32",Y,,,"1",
47.28000474,-122.2474615,"32",Y,,,"1",
47.28012012,-122.24698371,"32",Y,,,"1",
47.27999676,-122.24698374,"32",Y,,,"1",
47.27987064,-122.24699914,"32",Y,,,"1",
47.27963874,-122.24688295,"32",Y,,,"1",
47.27963793,-122.2470822,"32",Y,,,"1",
47.28147709,-122.24698578,"32",Y,,,"1",
47.28160731,-122.24698599,"32",Y,,,"1",
47.28174437,-122.24698622,"32",Y,,,"1",
47.28188144,-122.24698645,"32",Y,,,"1",
47.28201851,-122.24698664,"32",Y,,,"1",
47.28215559,-122.24698687,"32",Y,,,"1",
47.28229266,-122.24698709,"32",Y,,,"1",
47.28242252,-122.24698731,"32",Y,,,"1",
47.28254351,-122.24698546,"32",Y,,,"1",
47.28266494,-122.24701691,"32",Y,,,"1",
47.28247498,-122.2474454,"32",Y,,,"1",
47.28247315,-122.24762361,"32",Y,,,"1",
47.28247272,-122.24780483,"32",Y,,,"1",
47.28240321,-122.24799526,"32",Y,,,"1",
47.2820321,-122.24820907,"32",Y,,,"1",
47.2820543,-122.24798528,"32",Y,,,"1",
47.28205479,-122.24780415,"32",Y,,,"1",
47.28205528,-122.24762295,"32",Y,,,"1",
47.28205436,-122.24744247,"32",Y,,,"1",
47.2817427,-122.24744209,"32",Y,,,"1",
47.28174044,-122.24762241,"32",Y,,,"1",
47.28173987,-122.2478036,"32",Y,,,"1",
47.28173929,-122.24798476,"32",Y,,,"1",
47.28173874,-122.24816591,"32",Y,,,"1",
47.28027075,-122.25019884,"32",Y,,,"1",
47.269306,-122.251936,"31",Y,Y,,"2",
47.26929,-122.251656,"31",Y,Y,,"2",
47.269258,-122.251319,"31",Y,Y,,"2",
47.269436,-122.251215,"31",Y,Y,,"2",
47.269655,-122.251228,"31",Y,Y,,"2",
47.269869,-122.251523,"31",Y,Y,,"2",
47.269721,-122.251945,"31",Y,Y,,"2",
47.269902,-122.251954,"31",Y,Y,,"2",
47.268117,-122.231805,"32",Y,,,"1",
47.268124,-122.231523,"32",Y,,,"1",
47.268117,-122.231251,"32",Y,,,"1",
47.268028,-122.231067,"32",Y,,,"1",
47.268011,-122.23084,"32",Y,,,"1",
47.268012,-122.230629,"32",Y,,,"1",
47.267862,-122.231606,"32",Y,,,"1",
47.267698,-122.231601,"32",Y,,,"1",
47.267533,-122.231646,"32",Y,,,"1",
47.267516,-122.231406,"32",Y,,,"1",
47.267566,-122.231079,"32",Y,,,"1",
47.267605,-122.230888,"32",Y,,,"1",
47.267611,-122.230634,"32",Y,,,"1",
47.268465,-122.236446,"32",Y,,,"1",
47.268478,-122.236709,"32",Y,,,"1",
47.268672,-122.236413,"32",Y,,,"1",
47.268796,-122.236399,"32",Y,,,"1",
