area_code_list,bounds_east,bounds_north,bounds_south,bounds_west,common_city_list,county,housing_units,land_area_in_sqmi,lat,lng,major_city,median_home_value,median_household_income,occupied_housing_units,population,population_density,post_office_city,radius_in_miles,water_area_in_sqmi,zipcode,zipcode_type
['253'],-122.226541,47.357844,47.257054,-122.306877,"['Auburn', 'Algona', 'Federal Way']",King County,11249.0,18.59,47.31,-122.27,Auburn,268800.0,71746.0,10717.0,31911.0,1717.0,"Auburn, WA",5.0,0.32,98001,Standard
['253'],-122.192108,47.357601,47.265887,-122.232524,['Auburn'],King County,13480.0,7.15,47.31,-122.21,Auburn,167100.0,43568.0,12495.0,31647.0,4423.0,"Auburn, WA",5.0,0.13,98002,Standard
['253'],-122.287422,47.35796,47.257397,-122.344854,"['Federal Way', 'Auburn']",King County,18436.0,11.62,47.31,-122.31,Federal Way,221600.0,45894.0,17250.0,44151.0,3800.0,"Federal Way, WA",5.0,0.11,98003,Standard
['425'],-122.181229,47.657588,47.574044,-122.235128,"['Bellevue', 'Beaux Arts', 'Clyde Hill', 'Hunts Point', 'Yar...']",King County,16568.0,7.03,47.62,-122.21,Bellevue,723300.0,93521.0,13320.0,27946.0,3977.0,"Bellevue, WA",4.0,1.61,98004,Standard
['425'],-122.144989,47.660788,47.579296,-122.192117,['Bellevue'],King County,8070.0,7.5,47.62,-122.17,Bellevue,568700.0,84774.0,7539.0,17714.0,2361.0,"Bellevue, WA",4.0,0.01,98005,Standard
['425'],-122.099107,47.580251,47.52482,-122.202007,"['Bellevue', 'Issaquah']",King County,13891.0,10.69,47.56,-122.15,Bellevue,574000.0,110290.0,13288.0,36364.0,3402.0,"Bellevue, WA",3.0,0.75,98006,Standard
['425'],-122.127695,47.660643,47.578308,-122.154938,['Bellevue'],King County,10996.0,4.38,47.62,-122.15,Bellevue,379000.0,73162.0,10315.0,24889.0,5684.0,"Bellevue, WA",4.0,0.01,98007,Standard
['425'],-122.07922,47.64609,47.564911,-122.137588,['Bellevue'],King County,9552.0,5.5,47.61,-122.11,Bellevue,457200.0,92986.0,9173.0,24411.0,4437.0,"Bellevue, WA",4.0,2.85,98008,Standard
['360'],-121.932506,47.343649,47.27262,-122.054455,['Black Diamond'],King County,2017.0,15.05,47.31,-122.0,Black Diamond,319300.0,85398.0,1846.0,5025.0,334.0,"Black Diamond, WA",4.0,1.02,98010,Standard
['425'],-122.163526,47.776637,47.724255,-122.245212,['Bothell'],King County,12646.0,8.19,47.75,-122.2,Bothell,351000.0,71720.0,11905.0,29212.0,3569.0,"Bothell, WA",2.0,0.0,98011,Standard
['425'],-122.153125,47.881937,47.808534,-122.246485,"['Bothell', 'Mill Creek']",Snohomish County,20580.0,15.32,47.84,-122.2,Bothell,350000.0,88283.0,19448.0,51136.0,3338.0,"Bothell, WA",4.0,0.02,98012,Standard
['425'],-121.791637,47.726291,47.588552,-122.005922,['Carnation'],King County,2631.0,45.31,47.6,-121.9,Carnation,410900.0,95394.0,2456.0,6765.0,149.0,"Carnation, WA",11.0,1.79,98014,Standard
